athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place
Anna Olasz,HUN,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,17.0,7466.4,1.0
Giulia Gabbrielleschi,ITA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,17.0,7468.6,2.0
Caroline Laure Jouisse,FRA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,17.0,7471.3,3.0
Jeannette Spiwoks,GER,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,17.0,7479.0,4.0
Sofie Callo,ITA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,17.0,7480.3,5.0
Oceane Cassignol,FRA,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,17.0,7493.2,6.0
Lea Boy,GER,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,17.0,7519.1,7.0
Narin Burcunaz,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,17.0,7552.2,8.0
Tuna Erdogan,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,17.0,7567.8,9.0
Sophia Irem Iskenderoglu,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,17.0,8068.1,10.0
Sevim Eylul Supurgeci,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,17.0,8157.1,11.0
Ece Yildirim,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,17.0,8244.6,12.0
Merve Erdemir,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,17.0,8400.3,13.0
Ilgin Celik,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,17.0,8447.7,14.0
Aleyna Nur Sungur,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,17.0,8450.1,15.0
Doga Babacan,TUR,08/28/2021,FINA World Cup,"Ohrid Lake, MKD",10.0,NW,Neutral,17.0,8584.2,16.0
