athlete_name,country,date,event,location,distance,wetsuit,condition,field_size,time,place,Split1,Split2,Split3,Split4,Split5,Split6,Split7,Split8,Split9,Split10,Split11,Split12,Split13,Split14,Split15,Split16,Split17,Split18,Split19,Split20,Split21,Split22,Split23,Split24,Split25,Split26,Split27,Split28,Split29,Split30
Oceane Cassignol,FRA,3/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,11.0,1714.3,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Martina De Memme,ITA,3/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,11.0,1714.5,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arianna Valloni,SMR,3/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,11.0,1725.6,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Barbara Pozzobon,ITA,3/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,11.0,1739.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leonie Beck,GER,3/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,11.0,1740.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Anna Tymashenko,ISR,3/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,11.0,1971.7,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eden Botbol,ISR,3/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,11.0,1984.7,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ori Komemi,ISR,3/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,11.0,2028.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shira Golcman,ISR,3/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,11.0,2033.2,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuval Natan,ISR,3/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,11.0,2034.3,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inbal Hazan,ISR,3/23/2022,LEN Cup,"Eilat, ISR",2.5,NW,Neutral,11.0,2131.5,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
