athlete_name,date,event,location,distance,current_type,temp,field_size,place
Hugo CHOPINEAU,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,58
Davy BILLIAU,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,59
Denis ADEEV,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,60
Kai Graeme EDWARDS,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,61
Valentin BERNARD,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,62
Sebastian KARAS,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,63
Tomi STEFANOVSKI,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,64
Mohamed HEGAZY,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,65
Youssef Hossameldeen Khalil HOSSAMELDEEN,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,66
Corentin RABIER,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,67
Marwan ELAMRAWY,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,68
Kenessary KENENBAYEV,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,69
Isaias VASQUEZ TAVERA,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,70
Ho Yin KWAN,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,71
Timur ABZHANOV,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,72
Chun Hin HUI,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,73
Singha CHAU,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,74
Ho Yat Winson LEE,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,75
Abdulla Ali Hatim Ali Murad ALBALOOSHI,02/26/2016,FINA World Cup,"Abu Dhabi, UAE",10,No Current,Neutral,81,76
